country_source,year_source,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,actor1_left,actor1_right,actor1_centre,actor1_unknown,actor2_left,actor2_right,actor2_centre,actor2_unknown,assoc_actor1_left,assoc_actor1_right,assoc_actor1_centre,assoc_actor1_unknown,assoc_actor2_left,assoc_actor2_right,assoc_actor2_centre,assoc_actor2_unknown,event_left,event_right,event_centre,event_partisan_type,predicted_partisan_type,confidence,event_partisan_type_final,classification_source
Germany,2020,DEU1101,2020-04-05,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),NA,Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Niedersachsen,Region Hannover,NA,Hannover,52.3705,9.7332,1,Twitter; Extinction Rebellion,Other-New media,"On 5 April 2020, people protested in Hannover against the situation of refugees, especially in Lesbos.",0,crowd size=no report,1610631171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.2800363600254059,unknown,unknown
Germany,2020,DEU2893,2020-08-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Lebenslaute,Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Niedersachsen,Celle,NA,Unterluss,52.8337,10.2973,1,Die Tageszeitung; Suddeutsche Zeitung,National,"On 17 August 2020, around 100 Lebenslaute activists protested in Unterluss against arms production and exports by blocking the entrance routes to the Rheinmetall (armaments) factory. While blocking the access routes, the activists played music.",0,crowd size=around 100,1764722056,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,left_only,NA,NA,left_only,original
Germany,2020,DEU3148,2020-09-09,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),NA,Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Hessen,Frankfurt am Main,NA,Frankfurt am Main,50.1101,8.6819,1,Suddeutsche Zeitung; Redaktionsnetzwerk Deutschland,National,"On 9 September 2020, around 300 people protested in Frankfurt am Main for the reception of refugees from the Greek refugee camp Moria in which a fire had broken out the previous night.",0,crowd size=around 300,1610631178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.3855222761631012,unknown,unknown
Germany,2020,DEU319,2020-01-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Stop 5G International,Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Baden-Wurttemberg,Freiburg im Breisgau,NA,Freiburg im Breisgau,47.9946,7.8484,1,Physicians for Safe Technology; Stop 5G International,Other,"On 25 January 2020, demonstrators gathered in Freiburg im Breisgau, to oppose the introduction of 5G network technology and its perceived radiation effects on environment and human health. The protest was a part of the worldwide demonstration campaign against the use of 5G networks held on 25 January 2020 and was supported by Stop 5G International movement.",0,crowd size=no report,1610631179,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.09183203428983688,unknown,unknown
Germany,2020,DEU3253,2020-09-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),NA,Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Niedersachsen,Emsland,NA,Sogel,52.8428,7.5188,1,Die Tageszeitung; Redaktionsnetzwerk Deutschland,National,"On 17 September 2020, animal rights activists from the Animal Protection Office protested in Sogel outside a slaughterhouse where animal rights violations were documented.",0,crowd size=no report,1764722056,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.0018384386785328388,unknown,unknown
Germany,2020,DEU3268,2020-09-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Labor Group (Germany),Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Hessen,Frankfurt am Main,NA,Frankfurt am Main,50.1101,8.6819,1,Suddeutsche Zeitung; Redaktionsnetzwerk Deutschland,National,"On 19 September 2020, around 50 sex workers protested in Frankfurt am Main for the re-opening of brothels, closed due to the coronavirus pandemic.",0,crowd size=around 50,1610631179,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.07076317816972733,unknown,unknown
Germany,2020,DEU3345,2020-09-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),IGM: Industrial Union of Metalworkers; Labor Group (Germany),Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Rheinland-Pfalz,Bernkastel-Wittlich,NA,Wittlich,49.9841,6.8881,1,Saarbruecker Zeitung; Suddeutsche Zeitung,National,"On 22 September 2020, around 150 employees of MAN - supported by IGM - protested in Wittlich against job cuts.",0,crowd size=around 150,1764722056,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,left_only,NA,NA,left_only,original
Germany,2020,DEU3374,2020-09-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Farmers (Germany),Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Saarland,Merzig-Wadern,NA,Weiskirchen,49.55,6.8167,1,Saarbruecker Zeitung; Suddeutsche Zeitung,Subnational-National,"On 24 September 2020, around 300 farmers protested in Weiskirchen during the Agricultural Conference for a more effective agriculture and against limitations set by the government.",0,crowd size=around 300,1764722056,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.05524479225277901,unknown,unknown
Germany,2020,DEU3618,2020-10-06,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Robin Wood,Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Hessen,Wiesbaden,NA,Wiesbaden,50.0822,8.2418,1,Suddeutsche Zeitung; Ende Gelaende,New media-National,"On 6 October 2020, Robin Wood activists climbed the state parliament in Wiesbaden and uncovered a banner to protest against the expansion of the highway A49.",0,crowd size=no report,1610631180,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,left_only,NA,NA,left_only,original
Germany,2020,DEU3762,2020-10-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Labor Group (Germany),Protesters,NA,NA,NA,Protesters only,NA,276,Europe,Germany,Nordrhein-Westfalen,Dusseldorf,NA,Dusseldorf,51.2217,6.7762,1,Redaktionsnetzwerk Deutschland; Suddeutsche Zeitung,National,"On 17 October 2020, employees of Karstadt Kaufhof protested on their last working day in Dusseldorf against the closure of the department store chain. The protesters hit a life-sized cardboard figure representing the owner of the Karstadt Kaufhof with boxing gloves.",0,crowd size=no report,1610631181,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.14054657518863678,unknown,unknown
