actor_clean,actor_clean_lower,left,right,centre,unknown
Protesters (Italy),protesters (italy),0,0,0,1
Protesters (International),protesters (international),0,0,0,1
Protesters (Bangladesh),protesters (bangladesh),0,0,0,1
Protesters (Tunisia),protesters (tunisia),0,0,0,1
Protesters (Bulgaria),protesters (bulgaria),0,0,0,1
Protesters (Azerbaijan),protesters (azerbaijan),0,0,0,1
Protesters (Nigeria),protesters (nigeria),0,0,0,1
Protesters (Algeria),protesters (algeria),0,0,0,1
Protesters (Somalia),protesters (somalia),0,0,0,1
Protesters (Egypt),protesters (egypt),0,0,0,1
Protesters (Belarus),protesters (belarus),0,0,0,1
Protesters (Cuba),protesters (cuba),0,0,0,1
Protesters (Eritrea),protesters (eritrea),0,0,0,1
Protesters (Russia),protesters (russia),0,0,0,1
Protesters (Ukraine),protesters (ukraine),0,0,0,1
Protesters (Iran),protesters (iran),0,0,0,1
Protesters (Pakistan),protesters (pakistan),0,0,0,1
Protesters (France),protesters (france),0,0,0,1
Protesters (Senegal),protesters (senegal),0,0,0,1
Police Forces of Italy (2018-2022),police forces of italy (2018-2022),0,0,0,1
Police Forces of Italy (2018-2022) Prison Guards,police forces of italy (2018-2022) prison guards,0,0,0,1
Police Forces of Italy (2018-2022) DIGOS: General Investigations and Special Operations Division,police forces of italy (2018-2022) digos: general investigations and special operations division,0,0,0,1
Unidentified Armed Group (Italy),unidentified armed group (italy),0,0,0,1
Rioters (Italy),rioters (italy),0,0,0,1
Private Security Forces (Italy),private security forces (italy),0,0,0,1
Rioters (China),rioters (china),0,0,0,1
Military Forces of Italy (2018-2022) Carabinieri,military forces of italy (2018-2022) carabinieri,0,0,0,1
Police Forces of Italy (2022-) Prison Guards,police forces of italy (2022-) prison guards,0,0,0,1
Police Forces of Italy (2022-),police forces of italy (2022-),0,0,0,1
Police Forces of Italy (2022-) DIGOS: General Investigations and Special Operations Division,police forces of italy (2022-) digos: general investigations and special operations division,0,0,0,1
Military Forces of Italy (2022-) Carabinieri,military forces of italy (2022-) carabinieri,0,0,0,1
Let's Remain Free,let's remain free,0,1,0,0
Teachers (Italy),teachers (italy),0,0,0,1
CUB: Basic Unit Confederation,cub: basic unit confederation,1,0,0,0
USB: Base Trade Union,usb: base trade union,1,0,0,0
COBAS: Confederation of Base Committees,cobas: confederation of base committees,1,0,0,0
Labor Group (Italy),labor group (italy),0,0,0,1
"CONFCOMMERCIO: Confederation of Business, Professional Activities and Autonomous Work","confcommercio: confederation of business, professional activities and autonomous work",0,1,0,0
Antifa,antifa,1,0,0,0
Women (Italy),women (italy),0,0,0,1
Students (Italy),students (italy),0,0,0,1
OBR: One Billion Rising,obr: one billion rising,1,0,0,0
Health Workers (Italy),health workers (italy),0,0,0,1
FASI: Federation of Sardinian Associations in Italy,fasi: federation of sardinian associations in italy,0,0,0,1
AI: Amnesty International,ai: amnesty international,1,0,0,0
Coldiretti,coldiretti,0,1,0,0
Farmers (Italy),farmers (italy),0,0,0,1
PD: Democratic Party (Italy),pd: democratic party (italy),1,0,0,0
Cagliari Social Forum,cagliari social forum,1,0,0,0
Action,action,0,0,1,0
Prisoners (Italy),prisoners (italy),0,0,0,1
PaP: Power To The People,pap: power to the people,1,0,0,0
Anticapitalist Left,anticapitalist left,1,0,0,0
PCI: Italian Communist Party,pci: italian communist party,1,0,0,0
PMLI: Italian Marxist-Leninist Party,pmli: italian marxist-leninist party,1,0,0,0
PRC: Communist Refoundation Party,prc: communist refoundation party,1,0,0,0
PCL: Workers' Communist Party,pcl: workers' communist party,1,0,0,0
Arcigay,arcigay,1,0,0,0
LGBTQ+ (Italy),lgbtq+ (italy),0,0,0,1
AGEDO: Parents of Homosexuals Association,agedo: parents of homosexuals association,1,0,0,0
Belarusian Group (Italy),belarusian group (italy),0,0,0,1
ADL COBAS: Workers' Rights Association,adl cobas: workers' rights association,1,0,0,0
Lawyers (Italy),lawyers (italy),0,0,0,1
FGC: Front of the Communist Youth,fgc: front of the communist youth,1,0,0,0
Priority to School,priority to school,0,0,0,1
Sardines Movement,sardines movement,1,0,0,0
Libera,libera,0,0,0,1
