actor_clean,actor_clean_lower,left,right,centre,unknown
Protesters (Spain),protesters (spain),0,0,0,1
Protesters (Bulgaria),protesters (bulgaria),0,0,0,1
Protesters (Algeria),protesters (algeria),0,0,0,1
Protesters (Morocco),protesters (morocco),0,0,0,1
Protesters (Belgium),protesters (belgium),0,0,0,1
Protesters (International),protesters (international),0,0,0,1
Protesters (Nicaragua),protesters (nicaragua),0,0,0,1
Protesters (Colombia),protesters (colombia),0,0,0,1
Protesters (Nigeria),protesters (nigeria),0,0,0,1
Protesters (Poland),protesters (poland),0,0,0,1
Protesters (Tunisia),protesters (tunisia),0,0,0,1
Protesters (Finland),protesters (finland),0,0,0,1
Protesters (Mexico),protesters (mexico),0,0,0,1
Protesters (Pakistan),protesters (pakistan),0,0,0,1
Protesters (Ukraine),protesters (ukraine),0,0,0,1
Protesters (Iran),protesters (iran),0,0,0,1
Protesters (Peru),protesters (peru),0,0,0,1
Protesters (United States),protesters (united states),0,0,0,1
Protesters (Georgia),protesters (georgia),0,0,0,1
Protesters (Venezuela),protesters (venezuela),0,0,0,1
Police Forces of Spain (2020-),police forces of spain (2020-),0,0,0,1
Rioters (Spain),rioters (spain),0,0,0,1
Unidentified Armed Group (Spain),unidentified armed group (spain),0,0,0,1
Private Security Forces (Spain),private security forces (spain),0,0,0,1
Military Forces of Spain (2020-) Civil Guard,military forces of spain (2020-) civil guard,0,0,0,1
Military Forces of Spain (2020-),military forces of spain (2020-),0,0,0,1
Rioters (Israel),rioters (israel),0,0,0,1
More Plural Platform,more plural platform,0,0,0,1
Citizens Party,citizens party,0,0,1,0
PP: People's Party (Spain),pp: people's party (spain),0,1,0,0
Health Workers (Spain),health workers (spain),0,0,1,0
Labor Group (Spain),labor group (spain),0,0,0,1
CCOO: Workers Commissions,ccoo: workers commissions,1,0,0,0
UGT: General Union of Workers (Spain),ugt: general union of workers (spain),1,0,0,0
CSIF: Public Official's Independent Trade Union,csif: public official's independent trade union,0,0,1,0
Lawyers (Spain),lawyers (spain),0,0,0,1
Teachers (Spain),teachers (spain),0,0,0,1
Recognition for Hospital Attendants,recognition for hospital attendants,0,0,0,1
Students (Spain),students (spain),0,0,0,1
AUGC: Unified Association of Civil Guards,augc: unified association of civil guards,0,0,0,1
Women (Spain),women (spain),0,0,0,1
Belarusian Group (Spain),belarusian group (spain),0,0,0,1
Stop 5G International,stop 5g international,0,0,0,1
Refugees/IDPs (Morocco),refugees/idps (morocco),0,0,0,1
Farmers (Spain),farmers (spain),0,0,0,1
SUT: Solidarity and Workers Unity,sut: solidarity and workers unity,1,0,0,0
Helpless Women,helpless women,1,0,0,0
AI: Amnesty International,ai: amnesty international,1,0,0,0
SATSE: Nursing Union,satse: nursing union,1,0,1,0
Vox,vox,0,1,0,0
CGT: General Confederation of Labor (Spain),cgt: general confederation of labor (spain),1,0,0,0
BLM: Black Lives Matter,blm: black lives matter,1,0,0,0
Omnium Cultural,omnium cultural,1,0,0,0
ANC: National Catalan Assembly,anc: national catalan assembly,0,0,0,1
CDR: Committees for the Defence of the Republic,cdr: committees for the defence of the republic,1,0,0,0
ELA: Basque Workers' Association,ela: basque workers' association,1,0,0,0
Euskal Herria Bildu,euskal herria bildu,1,0,0,0
LAB: Abertzales Workers' Committees,lab: abertzales workers' committees,1,0,0,0
CIG: Galician Inter-Union Confederation,cig: galician inter-union confederation,1,0,0,0
"Inclusive Education Platform YES, Special ALSO","inclusive education platform yes, special also",1,0,0,0
Basque Group (Spain),basque group (spain),1,0,0,0
ESK: Left Trade Union Convergence,esk: left trade union convergence,1,0,0,0
Steilas,steilas,1,0,0,0
Antifa,antifa,1,0,0,0
Government of Spain (2020-),government of spain (2020-),1,0,0,0
LGBTQ+ (Spain),lgbtq+ (spain),0,0,0,1
Green Tide,green tide,1,0,0,0
SOS Public Health Platform,sos public health platform,1,0,0,0
Refugees/IDPs (Algeria),refugees/idps (algeria),0,0,0,1
Refugees/IDPs (International),refugees/idps (international),0,0,0,1
CUP: Popular Unity Candidacy,cup: popular unity candidacy,1,0,0,0
ERC: Catalan Republican Left,erc: catalan republican left,1,0,0,0
FADSP: Spanish Federation of Associations for the Defence of the Public Health Service,fadsp: spanish federation of associations for the defence of the public health service,1,0,0,0
CSI: Left Common Trade Union,csi: left common trade union,1,0,0,0
IU: United Left,iu: united left,1,0,0,0
AnimaNaturalis,animanaturalis,1,0,0,0
PETA: People for the Ethical Treatment of Animals,peta: people for the ethical treatment of animals,1,0,0,0
Health Workers in Action,health workers in action,1,0,0,0
PAH: Platform for People Affected by Mortgages,pah: platform for people affected by mortgages,0,0,0,1
Fishers (Spain),fishers (spain),0,0,0,1
USO: Workers' Trade Union,uso: workers' trade union,1,0,0,0
Sortu,sortu,1,0,0,0
Labor Group (International),labor group (international),0,0,0,1
Migrants (International),migrants (international),1,0,0,0
ASAJA: Agrarian Association of Young Farmers,asaja: agrarian association of young farmers,0,0,0,1
CESM: State Confederation of Medical Unions,cesm: state confederation of medical unions,0,0,1,0
