country_source,year_source,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,actor1_left,actor1_right,actor1_centre,actor1_unknown,actor2_left,actor2_right,actor2_centre,actor2_unknown,assoc_actor1_left,assoc_actor1_right,assoc_actor1_centre,assoc_actor1_unknown,assoc_actor2_left,assoc_actor2_right,assoc_actor2_centre,assoc_actor2_unknown,event_left,event_right,event_centre,event_partisan_type,predicted_partisan_type,confidence,event_partisan_type_final,classification_source
Spain,2020,ESP3299,2020-12-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),More Plural Platform; Citizens Party; PP: People's Party (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Galicia,A Coruna,NA,Ferrol,43.5113,-8.2669,1,20minutos,National,"On 20 December 2020, citizens, including students' families of semi-private schools, drove their vehicles in Ferrol (A Coruna) to protest against the recently approved Education Reform Law (LOMLOE). Protesters said that the law limits the family's freedom to choose a school for their children. They also complained about the law being ideologically biased. More Plural Platform organized the protest. The Citizens Party and People's Party (PP) participated in the protest.",0,crowd size=no report,1610631256,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,right_vs_centre,NA,NA,right_vs_centre,original
Spain,2020,ESP1577,2020-08-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),NA,Protesters,Protesters (Spain),NA,Protesters,Protesters-Protesters,NA,724,Europe,Spain,Madrid,Madrid,NA,Galapagar,40.5798,-4.0055,1,20minutos,National,"On 21 August 2020, citizens gathered in front of the house of the Second Deputy Prime Minister (and also Minister of Social Rights and 2030 Agenda) and the Ministry of Gender Equality, located in Galapagar (Madrid), to protest against the management of the Government. There was also a counter-protest to express support to the political representatives.",0,crowd size=no report,1618499045,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.07115701586008072,unknown,unknown
Spain,2020,ESP3312,2020-12-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),More Plural Platform; Citizens Party; PP: People's Party (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Galicia,Lugo,NA,Lugo,43.0099,-7.5576,1,20minutos,National,"On 20 December 2020, citizens, including students' families of semi-private schools, drove their vehicles in Lugo to protest against the recently approved Education Reform Law (LOMLOE). Protesters said that the law limits the family's freedom to choose a school for their children. They also complained about the law being ideologically biased. More Plural Platform organized the protest. The Citizens Party and People's Party (PP) participated in the protest.",0,crowd size=no report,1610631256,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,right_vs_centre,NA,NA,right_vs_centre,original
Spain,2020,ESP1980,2020-09-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),NA,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Andalucia,Sevilla,NA,Camas,37.4027,-6.0333,1,20minutos,National,"On 28 September 2020, local residents gathered in Camas (Sevilla) demanding the restoration of the 24-hour emergency health services that were in place before the coronavirus health crisis.",0,crowd size=no report,1610631256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.15690365433692932,unknown,unknown
Spain,2020,ESP1357,2020-07-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Health Workers (Spain); Labor Group (Spain); CCOO: Workers Commissions; UGT: General Union of Workers (Spain); CSIF: Public Official's Independent Trade Union,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Andalucia,Malaga,NA,Malaga,36.7297,-4.4221,1,20minutos,National,"On 19 July 2020, around 100 citizens, including health workers, protested by disrupting the road traffic in Malaga to express discomfort with the 'unilateral' decision to close the Red Cross Hospital located in the city. Trade unions such as Workers Commissions (CCOO), General Union of Workers (UGT), and Public Official's Independent Trade Union (CSIF) supported the demonstration.",0,crowd size=around 100,1610631256,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,left_vs_centre,NA,NA,left_vs_centre,original
Spain,2020,ESP1489,2020-08-10,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Police Forces of Spain (2020-),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Albacete,NA,Albacete,38.9968,-1.8581,1,20minutos,National,"On 10 August 2020, local police officers gathered in Albacete to express discomfort with the local government because of the recently approved decree stipulating extraordinary working services for the weekend without having consulted them previously.",0,crowd size=no report,1610631256,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.08380527794361115,unknown,unknown
Spain,2020,ESP75,2020-01-14,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Lawyers (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Toledo,NA,Toledo,39.8642,-4.0262,1,20minutos,National,"On 14 January 2020, around 40 lawyers from Toledo protested outside of the Palace of Justice against the non-payment of services rendered.",0,crowd size=around 40,1610631256,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.020993581041693687,unknown,unknown
Spain,2020,ESP1404,2020-07-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CCOO: Workers Commissions,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Andalucia,Malaga,NA,Malaga,36.7297,-4.4221,1,20minutos,National,"On 23 July 2020, union representatives of Workers Commissions (CCOO) protested in Malaga to demand more labor inspections to control the health and safety measures in the hospitality sector.",0,crowd size=no report,1610631256,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,left_only,NA,NA,left_only,original
Spain,2020,ESP2884,2020-11-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),More Plural Platform; Teachers (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla y Leon,Valladolid,NA,Valladolid,41.6565,-4.7209,1,20minutos,National,"On 24 November 2020, hundreds of citizens, including teachers, and students' families of semi-private schools, gathered in Valladolid to protest against the recently approved Education Reform Law (LOMLOE). Protesters said that the law limits the family's freedom to choose a school for their children. They also complained about the law 'imposes secularist ideology'. The protest was organized by More Plural Platform.",0,crowd size=hundreds,1610631256,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.06017842888832092,unknown,unknown
Spain,2020,ESP1561,2020-08-18,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Health Workers (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Extremadura,Badajoz,NA,Merida,38.9186,-6.3416,1,20minutos,National,"On 18 August 2020, around 30 ambulance workers of Tenorio company protested in Merida, demanding better working conditions.",0,crowd size=around 30,1610631256,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,centre_only,NA,NA,centre_only,original
Spain,2020,ESP2584,2020-11-11,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Extremadura,Badajoz,NA,Merida,38.9186,-6.3416,1,20minutos,National,"On 11 November 2020, employers and workers of the hospitality industry drove over 100 vehicles in Merida to call on the government to provide greater financial support by decreasing taxation. Protesters said that the coronavirus pandemic had impacted their incomes.",0,crowd size=over 100 vehicles,1610631256,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.28812724351882935,unknown,unknown
Spain,2020,ESP3335,2020-12-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),More Plural Platform; Citizens Party; PP: People's Party (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Galicia,Pontevedra,NA,Vigo,42.2406,-8.7205,1,20minutos,National,"On 20 December 2020, citizens, including students' families of semi-private schools, drove their vehicles in Vigo to protest against the recently approved Education Reform Law (LOMLOE). Protesters said that the law limits the family's freedom to choose a school for their children. They also complained about the law being ideologically biased. More Plural Platform organized the protest. The Citizens Party and People's Party (PP) participated in the protest.",0,crowd size=no report,1610631256,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,right_vs_centre,NA,NA,right_vs_centre,original
Spain,2020,ESP1339,2020-07-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Bulgaria),NA,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Cataluna,Barcelona,NA,Barcelona - L'Eixample,41.3947,2.1634,1,Btvnovinite,International,"On 17 July 2020, Bulgarians protested in Barcelona - L'Eixample calling for the resignation of the ruling government coalition. Protesters also complained over corruption.",0,crowd size=no report,1610631273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.07314593344926834,unknown,unknown
Spain,2020,ESP2979,2020-11-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),NA,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Extremadura,Badajoz,NA,Fuente de Cantos,38.2462,-6.3074,1,Canal Extremadura,Subnational,"On 29 November 2020, around 200 persons gathered to complain about unlawful occupations by squatters in Fuente de Cantos (Badajoz). Local residents were accusing the squatters of bringing fear and insecurity to the neighborhood.",0,crowd size=around 200,1610631276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.0377669595181942,unknown,unknown
Spain,2020,ESP1892,2020-09-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CCOO: Workers Commissions,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Galicia,A Coruna,NA,Ferrol,43.5113,-8.2669,1,Diario De Ferrol,Subnational,"On 24 September 2020, about 100 state employees gathered in Ferrol (A Coruna), demanding that the government comply with their collective bargaining agreement. The protest was called by the Workers Commissions (CCOO).",0,crowd size=about 100,1610631510,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,left_only,NA,NA,left_only,original
Spain,2020,ESP1716,2020-09-10,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Health Workers (Spain); Recognition for Hospital Attendants,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Albacete,NA,Albacete,38.9968,-1.8581,1,Diario Sanitario,Other,"On 10 September 2020, hospital attendants called by the Recognition for Hospital Attendants platform protested at the Perpetuo Socorro Hospital and the General University Hospital of Albacete to complain over the lack of protection at work during the coronavirus health crisis. Protesters demanded to be considered as high-risk personnel.",0,crowd size=no report,1610631513,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,centre_only,NA,NA,centre_only,original
Spain,2020,ESP1883,2020-09-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Galicia,A Coruna,NA,Cee,42.9577,-9.1911,1,El Correo Gallego,Subnational,"On 23 September 2020, workers of Xeal (former Ferroatlantica) gathered in front of the City Council of Cee (A Coruna) to protest against the company's decision to implement a new temporary suspension of employment.",0,crowd size=no report,1610631519,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,left,0.7099999189376831,left,text_classification
Spain,2020,ESP1772,2020-09-15,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Students (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Galicia,A Coruna,NA,Melide,42.9147,-8.0135,1,El Correo Gallego,Subnational,"On 15 September 2020, students and parents of students of a school in Melide demanded more safety measures and support to prevent coronavirus infections. Protesters also demanded to hire more teachers during the coronavirus health crisis to shrink class sizes.",0,crowd size=no report,1610631519,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.052510783076286316,unknown,unknown
Spain,2020,ESP3092,2020-12-06,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Military Forces of Spain (2020-) Civil Guard; AUGC: Unified Association of Civil Guards,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla y Leon,Valladolid,NA,Valladolid,41.6565,-4.7209,1,El Dia de Valladolid,Subnational,"On 6 December 2020, on the occasion of the Spanish Constitution Day, around 100 members of the Unified Association of Civil Guards (AUGC) protested in Valladolid against the new draft of the General Productivity Order. Protesters said that the proposed ' productivity bonus' only benefits senior commanders. They said that the distribution of performance-based incentives needs to meet objective and equality criteria.",0,crowd size=around 100,1610631520,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.1392873078584671,unknown,unknown
Spain,2020,ESP2308,2020-10-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Toledo,NA,Talavera de la Reina,39.965,-4.8326,1,El Digital CLM,Subnational,"On 21 October 2020, around 80 small traders gathered in Talavera de la Reina (Toledo) to protest against street markets' restrictions to avoid the spread of coronavirus infections.",0,crowd size=around 80,1610631521,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.19258460402488708,unknown,unknown
Spain,2020,ESP1863,2020-09-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CCOO: Workers Commissions; UGT: General Union of Workers (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Albacete,NA,Albacete,38.9968,-1.8581,1,El Digital de Albacete,Subnational,"On 22 September 2020, workers of the aeronautical industries (such as Alestis and Airbus) staged a strike and protested in Albacete demanding the government a national industrial plan for the aviation sector to secure the job positions at risk due to the lack of demand as a result the coronavirus health crisis. Protesters complained over the collective redundancy scheme (ERE) affecting many employees. The strike was called by the Workers Commissions (CCOO) and General Union of Workers (UGT).",0,crowd size=no report,1610631521,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,left_only,NA,NA,left_only,original
Spain,2020,ESP2648,2020-11-12,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Albacete,NA,Albacete,38.9968,-1.8581,1,El Digital de Albacete,Subnational,"On 12 November 2020, employers and workers of the hospitality industry staged a protest in Albacete to complain about restrictions in bars and restaurants to control the spread of coronavirus infections. Protesters called on the government to provide greater financial support by decreasing taxation. The demonstration was a part of a nationwide action held on 12 November 2020.",0,crowd size=no report,1610631521,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.05039571598172188,unknown,unknown
Spain,2020,ESP2649,2020-11-12,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla-La Mancha,Albacete,NA,Hellin,38.5084,-1.6946,1,El Digital de Albacete,Subnational,"On 12 November 2020, employers and workers of the hospitality industry staged a protest in Hellin (Albacete) to complain about restrictions in bars and restaurants to control the spread of coronavirus infections. Protesters called on the government to provide greater financial support by decreasing taxation. The demonstration was a part of a nationwide action held on 12 November 2020.",0,crowd size=no report,1610631521,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.04102019965648651,unknown,unknown
Spain,2020,ESP2613,2020-11-12,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla y Leon,Valladolid,NA,Valladolid,41.6565,-4.7209,1,El Economista,International,"On 12 November 2020, employers and workers of the hospitality industry staged a protest in Valladolid to complain about restrictions in bars and restaurants to control the spread of coronavirus infections. Protesters called on the government to provide greater financial support by decreasing taxation. The demonstration was a part of a nationwide action held on 12 November 2020.",0,crowd size=no report,1610631521,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.04688824713230133,unknown,unknown
Spain,2020,ESP2607,2020-11-12,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla y Leon,Burgos,NA,Burgos,42.3479,-3.6972,1,El Economista,International,"On 12 November 2020, around 1500 employers and workers of the hospitality industry staged a protest in Burgos to complain about restrictions in bars and restaurants to control the spread of coronavirus infections. Protesters called on the government to provide greater financial support by decreasing taxation. The demonstration was a part of a nationwide action held on 12 November 2020.",0,crowd size=around 1500,1610631521,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.05091020464897156,unknown,unknown
Spain,2020,ESP2612,2020-11-12,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Castilla y Leon,Avila,NA,Avila,40.6564,-4.6803,1,El Economista,International,"On 12 November 2020, dozens of employers and workers of the hospitality industry staged a protest in Avila to complain about restrictions in bars and restaurants to control the spread of coronavirus infections. Protesters called on the government to provide greater financial support by decreasing taxation. The demonstration was a part of a nationwide action held on 12 November 2020.",0,crowd size=dozens,1610631521,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,unknown,unknown,0.043191201984882355,unknown,unknown
Spain,2020,ESP989,2020-06-18,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Algeria),NA,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Valencia,Alicante,NA,Alicante,38.3472,-0.4895,1,El Khabar,International,"On 18 June 2020, dozens of Algerian citizens staged a sit-in protest in front of the Algerian consulate, in Alicante, to demand the Algerian authorities to open borders with Spain to return to their country. Protestors complained over their poor economic conditions since they got stuck in Spain due to the coronavirus crisis outbreak.",0,crowd size=dozens,1618500938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.02145044319331646,unknown,unknown
Spain,2020,ESP881,2020-06-09,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Algeria),NA,Protesters,NA,NA,NA,Protesters only,NA,724,Europe,Spain,Valencia,Alicante,NA,Alicante,38.3472,-0.4895,1,El Khabar,International,"On 9 June 2020, dozens of citizens of Algerian origin staged a sit-in protest in front of the Algerian consulate, in Alicante, to demand to the Algerian authorities to open its borders with Spain to return to their country. Protestors complained over their poor economic conditions since they got stuck in Spain due to the coronavirus crisis outbreak.",0,crowd size=no report,1618501310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,0.024280214682221413,unknown,unknown
