actor_clean,actor_clean_lower,left,right,centre,unknown
Protesters (United Kingdom),protesters (united kingdom),0,0,0,1
Protesters (Northern Ireland),protesters (northern ireland),0,0,0,1
Protesters (International),protesters (international),0,0,0,1
Protesters (Israel),protesters (israel),0,0,0,1
Protesters (Nigeria),protesters (nigeria),0,0,0,1
Protesters (Ireland),protesters (ireland),0,0,0,1
Protesters (Germany),protesters (germany),0,0,0,1
Protesters (Spain),protesters (spain),0,0,0,1
Protesters (Portugal),protesters (portugal),0,0,0,1
Rioters (United Kingdom),rioters (united kingdom),0,0,0,1
Police Forces of the United Kingdom (2010-2024),police forces of the united kingdom (2010-2024),0,0,0,1
Police Forces of the United Kingdom (2010-2024) Police Service of Northern Ireland,police forces of the united kingdom (2010-2024) police service of northern ireland,0,0,0,1
Private Security Forces (United Kingdom),private security forces (united kingdom),0,0,0,1
Rioters (Northern Ireland),rioters (northern ireland),0,0,0,1
Rioters (China),rioters (china),0,0,0,1
Police Forces of the United Kingdom (2024-),police forces of the united kingdom (2024-),0,0,0,1
SUTR: Stand Up To Racism,sutr: stand up to racism,1,0,0,0
BLM: Black Lives Matter,blm: black lives matter,1,0,0,0
Health Workers (United Kingdom),health workers (united kingdom),0,0,0,1
NIPSA: Northern Ireland Public Service Alliance,nipsa: northern ireland public service alliance,1,0,0,0
Labor Group (Northern Ireland),labor group (northern ireland),1,0,0,0
"RMT: National Union of Rail, Maritime and Transport Workers","rmt: national union of rail, maritime and transport workers",1,0,0,0
Labor Group (United Kingdom),labor group (united kingdom),1,0,0,0
FBU: Fire Brigades Union,fbu: fire brigades union,1,0,0,0
Stop 5G International,stop 5g international,0,0,1,0
ACORN Union,acorn union,1,0,0,0
Care4Calais,care4calais,1,0,0,0
"GMB: General, Municipal and Boilermakers Union","gmb: general, municipal and boilermakers union",1,0,0,0
Migrants (International),migrants (international),0,0,0,1
Migrants Organise,migrants organise,1,0,0,0
Refugees/IDPs (International),refugees/idps (international),0,0,0,1
Students (United Kingdom),students (united kingdom),0,0,0,1
Farmers (United Kingdom),farmers (united kingdom),0,0,0,1
Labor Group (International),labor group (international),1,0,0,0
Unison The Public Service Union,unison the public service union,1,0,0,0
Health Workers (Northern Ireland),health workers (northern ireland),0,0,0,1
URBC: Unis Resist Border Controls,urbc: unis resist border controls,1,0,0,0
Women (United Kingdom),women (united kingdom),0,0,0,1
LGBTQ+ (Northern Ireland),lgbtq+ (northern ireland),0,0,0,1
Free Presbyterian Church of Ulster,free presbyterian church of ulster,0,0,0,1
Protestant Christian Group (Northern Ireland),protestant christian group (northern ireland),0,0,0,1
Labour Party (United Kingdom),labour party (united kingdom),1,0,0,0
Labor Group (Israel),labor group (israel),1,0,0,0
Teachers (Israel),teachers (israel),0,0,0,1
Students (Israel),students (israel),0,0,0,1
Unite the Union (United Kingdom),unite the union (united kingdom),1,0,0,0
Teachers (United Kingdom),teachers (united kingdom),0,0,0,1
StandUpX,standupx,0,1,0,0
SBF: Save British Farming,sbf: save british farming,0,0,1,0
WASPI: Women Against State Pension Inequality,waspi: women against state pension inequality,1,0,0,0
UCU: University and College Union,ucu: university and college union,1,0,0,0
MVM: Make Votes Matter,mvm: make votes matter,0,0,1,0
WE: Women's Equality Party,we: women's equality party,1,0,0,0
Anarchist Group (United Kingdom),anarchist group (united kingdom),0,0,0,1
Prisoners (United Kingdom),prisoners (united kingdom),0,0,0,1
StWC: Stop the War Coalition,stwc: stop the war coalition,1,0,0,0
Belarusian Group (United Kingdom),belarusian group (united kingdom),0,0,0,1
Protestant Christian Group (United Kingdom),protestant christian group (united kingdom),0,0,0,1
NEU: National Education Union,neu: national education union,1,0,0,0
IPSC: Ireland Palestine Solidarity Campaign,ipsc: ireland palestine solidarity campaign,1,0,0,0
Christian Group (United Kingdom),christian group (united kingdom),0,0,0,1
People's Assembly Against Austerity,people's assembly against austerity,1,0,0,0
PBP: People Before Profit (United Kingdom),pbp: people before profit (united kingdom),1,0,0,0
Loyalist Militia,loyalist militia,0,1,0,0
EIS: Educational Institute of Scotland,eis: educational institute of scotland,1,0,0,0
Green Party (United Kingdom),green party (united kingdom),1,0,0,0
LD: Liberal Democrats,ld: liberal democrats,0,0,1,0
SNP: Scottish National Party,snp: scottish national party,1,0,0,0
AUOB: All Under One Banner,auob: all under one banner,0,0,1,0
Conservative Party (United Kingdom),conservative party (united kingdom),0,1,0,0
Students (International),students (international),0,0,0,1
"USDAW: Union of Shop, Distributive and Allied Workers","usdaw: union of shop, distributive and allied workers",1,0,0,0
CBR-UK: Center for Bio-Ethical Reform,cbr-uk: center for bio-ethical reform,0,1,0,0
Living Rent,living rent,1,0,0,0
Loyalist Group (Northern Ireland),loyalist group (northern ireland),0,1,0,0
ABD: Apprentice Boys of Derry,abd: apprentice boys of derry,0,1,0,0
Palestinian Group (United Kingdom),palestinian group (united kingdom),1,0,0,0
Ethiopian Group (United Kingdom),ethiopian group (united kingdom),0,0,0,1
PCS: Public and Commercial Services Union,pcs: public and commercial services union,1,0,0,0
Animal Rebellion,animal rebellion,1,0,0,0
LGBTQ+ (United Kingdom),lgbtq+ (united kingdom),0,0,0,1
Nurses United UK,nurses united uk,1,0,0,0
Keep Our NHS Public,keep our nhs public,1,0,0,0
Jewish Group (United Kingdom),jewish group (united kingdom),0,0,0,1
Journalists (United Kingdom),journalists (united kingdom),0,0,0,1
UAF: Unite Against Fascism,uaf: unite against fascism,1,0,0,0
Antifa,antifa,1,0,0,0
Polish Group (United Kingdom),polish group (united kingdom),0,0,0,1
Indian Group (United Kingdom),indian group (united kingdom),0,0,0,1
SSP: Scottish Socialist Party,ssp: scottish socialist party,1,0,0,0
Jamaican Group (United Kingdom),jamaican group (united kingdom),0,0,0,1
Reclaim the Night,reclaim the night,1,0,0,0
Romani Ethnic Group (United Kingdom),romani ethnic group (united kingdom),0,0,0,1
Stop HS2,stop hs2,0,0,1,0
IWGB: Independent Workers Union of Great Britain,iwgb: independent workers union of great britain,1,0,0,0
UVW: United Voices of the World,uvw: united voices of the world,1,0,0,0
Nigerian Group (United Kingdom),nigerian group (united kingdom),0,0,0,1
Unite the Union (Northern Ireland),unite the union (northern ireland),1,0,0,0
GJ: Yellow Vests,gj: yellow vests,0,0,1,0
Save Our Rights UK,save our rights uk,1,0,0,0
Labor Group (Ireland),labor group (ireland),1,0,0,0
Mandate,mandate,1,0,0,0
For Britain Movement,for britain movement,0,1,0,0
UKFM: UK Freedom Movement,ukfm: uk freedom movement,0,1,0,0
NIRA: New Irish Republican Army,nira: new irish republican army,1,0,0,0
Republican Group (Northern Ireland),republican group (northern ireland),0,0,0,1
Republican Militia,republican militia,1,0,0,0
XR: Extinction Rebellion,xr: extinction rebellion,1,0,0,0
RTA: Reclaim The Agenda,rta: reclaim the agenda,1,0,0,0
Women (Northern Ireland),women (northern ireland),0,0,0,1
AS: Action for Scotland,as: action for scotland,0,0,1,0
Chinese Group (United Kingdom),chinese group (united kingdom),0,0,0,1
Government of the United Kingdom (2010-2024),government of the united kingdom (2010-2024),0,1,0,0
Catholic Christian Group (United Kingdom),catholic christian group (united kingdom),0,0,0,1
Sikh Group (United Kingdom),sikh group (united kingdom),0,0,0,1
Muslim Group (United Kingdom),muslim group (united kingdom),0,0,0,1
SP: Safe Passage,sp: safe passage,1,0,0,0
Border Communities Against Brexit,border communities against brexit,0,0,1,0
SF: Sinn Fein,sf: sinn fein,1,0,0,0
Journalists (Northern Ireland),journalists (northern ireland),0,0,0,1
SIPTU: Services Industrial Professional and Technical Union,siptu: services industrial professional and technical union,1,0,0,0
Students (Northern Ireland),students (northern ireland),0,0,0,1
Teachers (Northern Ireland),teachers (northern ireland),0,0,0,1
LGSM: Lesbians and Gays Support the Migrants,lgsm: lesbians and gays support the migrants,1,0,0,0
Refugees/IDPs (United Kingdom),refugees/idps (united kingdom),0,0,0,1
40 Days for Life,40 days for life,0,1,0,0
Ocean Rebellion,ocean rebellion,1,0,0,0
UAR: United Against Racism,uar: united against racism,1,0,0,0
KOSC: Kashmir Overseas Solidarity Council,kosc: kashmir overseas solidarity council,0,0,0,1
Save Our Children,save our children,1,0,0,0
Women in Black,women in black,1,0,0,0
DxE: Direct Action Everywhere,dxe: direct action everywhere,1,0,0,0
QAnon,qanon,0,1,0,0
NWSOE: North Wales Save Outdoor Education,nwsoe: north wales save outdoor education,1,0,0,0
Defend Our NHS,defend our nhs,1,0,0,0
AI: Amnesty International,ai: amnesty international,1,0,0,0
AV: Anonymous for the Voiceless,av: anonymous for the voiceless,1,0,0,0
OO: Orange Order,oo: orange order,0,1,0,0
UDR: Ulster Defenders of the Realm,udr: ulster defenders of the realm,0,1,0,0
Former Military Forces of the United Kingdom (2010-2024),former military forces of the united kingdom (2010-2024),0,0,0,1
Friends of the Earth,friends of the earth,1,0,0,0
FFF: Fridays for Future,fff: fridays for future,1,0,0,0
Greenpeace,greenpeace,1,0,0,0
UKSCN: UK Student Climate Network,ukscn: uk student climate network,1,0,0,0
OxFoE: Oxford Friends of the Earth,oxfoe: oxford friends of the earth,1,0,0,0
Christian Climate Action,christian climate action,1,0,0,0
Saoradh,saoradh,1,0,0,0
APNI: The Alliance Party of Northern Ireland,apni: the alliance party of northern ireland,0,0,1,0
DUP: Democratic Unionist Party,dup: democratic unionist party,0,1,0,0
NASUWT: National Association of Schoolmasters Union of Women Teachers,nasuwt: national association of schoolmasters union of women teachers,1,0,0,0
SP: Socialist Party (United Kingdom),sp: socialist party (united kingdom),1,0,0,0
SWP: Socialist Workers Party,swp: socialist workers party,1,0,0,0
Burmese Group (United Kingdom),burmese group (united kingdom),0,0,0,1
PSC: Palestine Solidarity Campaign,psc: palestine solidarity campaign,1,0,0,0
Colombian Group (United Kingdom),colombian group (united kingdom),0,0,0,1
PA: Palestine Action,pa: palestine action,1,0,0,0
RCN: Royal College of Nursing,rcn: royal college of nursing,1,0,0,0
World Wide Rally for Freedom,world wide rally for freedom,0,0,1,0
Lawyers (United Kingdom),lawyers (united kingdom),0,0,0,1
Animal Equality,animal equality,1,0,0,0
Kurdish Ethnic Group (United Kingdom),kurdish ethnic group (united kingdom),0,0,0,1
Turkish Group (United Kingdom),turkish group (united kingdom),0,0,0,1
Reform UK,reform uk,0,1,0,0
Critical Mass,critical mass,1,0,0,0
ADCU: App Drivers and Couriers Union,adcu: app drivers and couriers union,1,0,0,0
CND: Campaign for Nuclear Disarmament,cnd: campaign for nuclear disarmament,1,0,0,0
Eritrean Group (United Kingdom),eritrean group (united kingdom),0,0,0,1
Tamil Ethnic Group (United Kingdom),tamil ethnic group (united kingdom),0,0,0,1
Afghan Group (United Kingdom),afghan group (united kingdom),0,0,0,1
Insulate Britain,insulate britain,1,0,0,0
PETA: People for the Ethical Treatment of Animals,peta: people for the ethical treatment of animals,1,0,0,0
Palestinian Group (Ireland),palestinian group (ireland),1,0,0,0
PBP: People Before Profit (Ireland),pbp: people before profit (ireland),1,0,0,0
Plaid Cymru,plaid cymru,1,0,0,0
ASLEF: Associated Society of Locomotive Engineers and Firemen,aslef: associated society of locomotive engineers and firemen,1,0,0,0
JNIV: Justice for Northern Ireland Veterans,jniv: justice for northern ireland veterans,0,0,0,1
Alba Party,alba party,0,1,0,0
Former Government of the United Kingdom (2010-2024),former government of the united kingdom (2010-2024),0,1,0,0
TUV: Traditional Unionist Voice,tuv: traditional unionist voice,0,1,0,0
Palestinian Group (Northern Ireland),palestinian group (northern ireland),1,0,0,0
Fishers (United Kingdom),fishers (united kingdom),0,0,0,1
Sisters Uncut,sisters uncut,1,0,0,0
Kashmiri Ethnic Group (United Kingdom),kashmiri ethnic group (united kingdom),0,0,0,1
Independent Politicians (United Kingdom),independent politicians (united kingdom),0,0,0,1
Refugees/IDPs (Eritrea),refugees/idps (eritrea),0,0,0,1
Protesters (Afghanistan),protesters (afghanistan),0,0,0,1
Protesters (Syria),protesters (syria),0,0,0,1
Refugees/IDPs (Afghanistan),refugees/idps (afghanistan),0,0,0,1
Refugees/IDPs (Syria),refugees/idps (syria),0,0,0,1
Rwandan Group (United Kingdom),rwandan group (united kingdom),0,0,0,1
PA: Patriotic Alternative,pa: patriotic alternative,0,1,0,0
Calais Action,calais action,1,0,0,0
"ROSA: For Reproductive Rights, Against Oppression, Sexism & Austerity","rosa: for reproductive rights, against oppression, sexism & austerity",1,0,0,0
Oxfam,oxfam,1,0,0,0
Protesters (India),protesters (india),0,0,0,1
UUP: Ulster Unionist Party,uup: ulster unionist party,0,1,0,0
Protesters (Brazil),protesters (brazil),0,0,0,1
Protesters (Colombia),protesters (colombia),0,0,0,1
Protesters (Ecuador),protesters (ecuador),0,0,0,1
Protesters (Pakistan),protesters (pakistan),0,0,0,1
Protesters (Sweden),protesters (sweden),0,0,0,1
Protesters (Uganda),protesters (uganda),0,0,0,1
Stop Cambo,stop cambo,1,0,0,0
Welsh Group (United Kingdom),welsh group (united kingdom),0,0,0,1
Buddhist Group (United Kingdom),buddhist group (united kingdom),0,0,0,1
Pax Christi,pax christi,1,0,0,0
COP26 Coalition,cop26 coalition,1,0,0,0
Stay Grounded,stay grounded,1,0,0,0
Protesters (France),protesters (france),0,0,0,1
Scientist Rebellion,scientist rebellion,1,0,0,0
Coast Salish Indigenous Group (Canada),coast salish indigenous group (canada),0,0,0,1
Farmers (Ireland),farmers (ireland),0,0,0,1
