actor_clean,actor_clean_lower,left,right,centre,unknown
Protesters (France),protesters (france),0,0,0,1
Protesters (International),protesters (international),0,0,0,1
Protesters (Serbia),protesters (serbia),0,0,0,1
Protesters (Germany),protesters (germany),0,0,0,1
Protesters (Colombia),protesters (colombia),0,0,0,1
Protesters (Spain),protesters (spain),0,0,0,1
Protesters (Mali),protesters (mali),0,0,0,1
Protesters (Ukraine),protesters (ukraine),0,0,0,1
Protesters (Italy),protesters (italy),0,0,0,1
Protesters (Russia),protesters (russia),0,0,0,1
Protesters (Switzerland),protesters (switzerland),0,0,0,1
Protesters (Senegal),protesters (senegal),0,0,0,1
Protesters (Armenia),protesters (armenia),0,0,0,1
Protesters (Belgium),protesters (belgium),0,0,0,1
Protesters (Luxembourg),protesters (luxembourg),0,0,0,1
Protesters (Reunion),protesters (reunion),0,0,0,1
Police Forces of France (2017-),police forces of france (2017-),0,0,0,1
Military Forces of France (2017-) Gendarmerie,military forces of france (2017-) gendarmerie,0,0,0,1
Rioters (France),rioters (france),0,0,0,1
Police Forces of France (2017-) Prison Guards,police forces of france (2017-) prison guards,0,0,0,1
Military Forces of France (2017-),military forces of france (2017-),0,0,0,1
Police Forces of France (2017-) BAC: Anti-Crime Squad,police forces of france (2017-) bac: anti-crime squad,0,0,0,1
Unidentified Armed Group (France),unidentified armed group (france),0,0,0,1
Private Security Forces (France),private security forces (france),0,0,0,1
Rioters (Armenia),rioters (armenia),0,0,0,1
Prisoners (France),prisoners (france),0,0,0,1
Students (France),students (france),0,0,0,1
Labor Group (France),labor group (france),0,0,0,1
Anarchist Group (France),anarchist group (france),0,0,0,1
Teachers (France),teachers (france),0,0,0,1
Belarusian Group (France),belarusian group (france),0,0,0,1
L214 Ethics & Animals,l214 ethics & animals,1,0,0,0
Women (France),women (france),0,0,0,1
Government of France (2017-),government of france (2017-),0,1,0,0
Health Workers (France),health workers (france),0,0,0,1
BLM: Black Lives Matter,blm: black lives matter,1,0,0,0
VPA: Truth For Adama,vpa: truth for adama,1,0,0,0
Velorution,velorution,1,0,0,0
Farmers (France),farmers (france),0,0,0,1
RESF: Education Without Borders Network,resf: education without borders network,1,0,0,0
