actor_clean,actor_clean_lower,left,right,centre,unknown
Protesters (Germany),protesters (germany),0,0,0,1
Protesters (Thailand),protesters (thailand),0,0,0,1
Protesters (Moldova),protesters (moldova),0,0,0,1
Protesters (Bulgaria),protesters (bulgaria),0,0,0,1
Protesters (Slovenia),protesters (slovenia),0,0,0,1
Protesters (Argentina),protesters (argentina),0,0,0,1
Protesters (United States),protesters (united states),0,0,0,1
Protesters (Belarus),protesters (belarus),0,0,0,1
Protesters (Iran),protesters (iran),0,0,0,1
Protesters (Serbia),protesters (serbia),0,0,0,1
Protesters (China),protesters (china),0,0,0,1
Protesters (France),protesters (france),0,0,0,1
Protesters (Armenia),protesters (armenia),0,0,0,1
Protesters (Turkey),protesters (turkey),0,0,0,1
Protesters (Poland),protesters (poland),0,0,0,1
Protesters (International),protesters (international),0,0,0,1
Protesters (Romania),protesters (romania),0,0,0,1
Protesters (Morocco),protesters (morocco),0,0,0,1
Protesters (Italy),protesters (italy),0,0,0,1
Protesters (Pakistan),protesters (pakistan),0,0,0,1
Protesters (Somalia),protesters (somalia),0,0,0,1
Protesters (Iraq),protesters (iraq),0,0,0,1
Protesters (Palestine),protesters (palestine),0,0,0,1
Protesters (Afghanistan),protesters (afghanistan),0,0,0,1
Protesters (Eritrea),protesters (eritrea),0,0,0,1
Protesters (Sierra Leone),protesters (sierra leone),0,0,0,1
Protesters (Netherlands),protesters (netherlands),0,0,0,1
Protesters (Ukraine),protesters (ukraine),0,0,0,1
Protesters (Syria),protesters (syria),0,0,0,1
Protesters (Ethiopia),protesters (ethiopia),0,0,0,1
Protesters (Spain),protesters (spain),0,0,0,1
Protesters (Russia),protesters (russia),0,0,0,1
Protesters (South Korea),protesters (south korea),0,0,0,1
Rioters (Germany),rioters (germany),0,0,0,1
Police Forces of Germany (2005-2021),police forces of germany (2005-2021),0,0,0,1
Protesters (Israel),protesters (israel),0,0,0,1
Private Security Forces (Germany),private security forces (germany),0,0,0,1
Unidentified Armed Group (Germany),unidentified armed group (germany),0,0,0,1
Police Forces of Germany (2021-2025),police forces of germany (2021-2025),0,0,0,1
Lebenslaute,lebenslaute,1,0,0,0
Stop 5G International,stop 5g international,0,0,0,1
Labor Group (Germany),labor group (germany),0,0,0,1
IGM: Industrial Union of Metalworkers,igm: industrial union of metalworkers,1,0,0,0
Farmers (Germany),farmers (germany),0,0,0,1
Robin Wood,robin wood,1,0,0,0
The Left (Germany),the left (germany),1,0,0,0
Ver.di: United Services Union,ver.di: united services union,1,0,0,0
Antifa,antifa,1,0,0,0
Belarusian Group (Germany),belarusian group (germany),0,0,0,1
DGB: German Trade Union Confederation,dgb: german trade union confederation,1,0,0,0
Catholic Christian Group (Germany),catholic christian group (germany),0,0,0,1
Women (Germany),women (germany),0,0,0,1
BLM: Black Lives Matter,blm: black lives matter,1,0,0,0
Ende Gelaende,ende gelaende,1,0,0,0
Sea-Eye,sea-eye,1,0,0,0
Seebruecke,seebruecke,1,0,0,0
