"Estimate","Std_Error","z_value","p_value"
-2.1841,0.1201,-18.1863,0
0.0075,0.0512,0.1463,0.8837
-0.1539,0.0615,-2.5015,0.0124
-0.0375,0.0518,-0.7226,0.4699
-0.2889,0.0643,-4.4955,0
0.2943,0.0601,4.8953,0
-0.1645,0.0601,-2.7371,0.0062
-0.2532,0.0674,-3.758,2e-04
0.4645,0.0337,13.7758,0
-0.007,0.0242,-0.2891,0.7725
0.0213,0.0376,0.5664,0.5711
0.1075,0.0636,1.6897,0.0911
0.1555,0.0345,4.5025,0
0.2321,0.0293,7.9116,0
0.1847,0.271,0.6817,0.4954
-0.0325,0.0493,-0.6596,0.5095
0.7437,0.0307,24.2537,0
0.02,0.0066,3.0568,0.0022
0.011,0.0082,1.3451,0.1786
-0.2758,0.0212,-13.0088,0
-0.529,0.0322,-16.4064,0
-0.0092,0.0174,-0.5268,0.5983
-0.0083,0.0189,-0.4371,0.662
1.2118,0.1603,7.5582,0
0.0113,0.001,10.7999,0
0.9695,0.2397,4.045,1e-04
-0.0651,0.0617,-1.0549,0.2915
-0.0294,0.0734,-0.4003,0.689
-0.0393,0.0613,-0.6412,0.5214
-0.1057,0.0767,-1.3788,0.168
-0.1738,0.0629,-2.7637,0.0057
-0.3069,0.0653,-4.7031,0
0.0063,0.0831,0.0762,0.9392
0.3329,0.0457,7.2826,0
6e-04,0.0237,0.0247,0.9803
0.0532,0.0423,1.2599,0.2077
0.1319,0.0681,1.9358,0.0529
0.0152,0.0394,0.3852,0.7001
-0.0512,0.0346,-1.4793,0.1391
0.3601,0.2318,1.5531,0.1204
0.0413,0.061,0.6767,0.4986
-0.0531,0.0685,-0.7745,0.4386
0.0039,0.0066,0.597,0.5505
-0.0138,0.0082,-1.683,0.0924
0.0357,0.0355,1.0058,0.3145
0.1037,0.0643,1.6131,0.1067
-0.0346,0.0183,-1.8941,0.0582
0.0794,0.0194,4.0799,0
-0.0573,0.1398,-0.41,0.6818
-0.1946,0.0977,-1.9917,0.0464
0.4757,0.035,13.6073,0
-0.409,0.174,-2.3503,0.0188
