"Estimate","Std_Error","z_value","p_value"
-2.1841,0.1201,-18.1863,0
0.0075,0.0512,0.1463,0.8837
-0.1539,0.0615,-2.5015,0.0124
-0.0375,0.0518,-0.7226,0.4699
-0.2889,0.0643,-4.4955,0
0.2943,0.0601,4.8953,0
-0.1645,0.0601,-2.7371,0.0062
-0.2532,0.0674,-3.758,2e-04
0.4645,0.0337,13.7758,0
-0.007,0.0242,-0.2891,0.7725
0.0213,0.0376,0.5664,0.5711
0.1075,0.0636,1.6897,0.0911
0.1555,0.0345,4.5025,0
0.2321,0.0293,7.9116,0
0.1847,0.271,0.6817,0.4954
-0.0325,0.0493,-0.6596,0.5095
0.7437,0.0307,24.2537,0
0.02,0.0066,3.0568,0.0022
0.011,0.0082,1.3451,0.1786
-0.2758,0.0212,-13.0088,0
-0.529,0.0322,-16.4064,0
-0.0092,0.0174,-0.5268,0.5983
-0.0083,0.0189,-0.4371,0.662
1.2118,0.1603,7.5582,0
0.0113,0.001,10.7999,0
-0.2875,0.202,-1.4234,0.1546
0.0136,0.0521,0.2608,0.7942
-0.0124,0.059,-0.2093,0.8342
0.0031,0.0514,0.0608,0.9515
0.0031,0.0646,0.0488,0.9611
-0.0723,0.0422,-1.7146,0.0864
-0.0888,0.0447,-1.9874,0.0469
-0.214,0.0527,-4.0652,0
-0.181,0.0347,-5.2132,0
0.0562,0.0173,3.2509,0.0012
0.2043,0.0351,5.8295,0
0.0684,0.0518,1.321,0.1865
0.0142,0.0239,0.5946,0.5521
0.0346,0.0222,1.5604,0.1187
0.2087,0.2645,0.789,0.4301
0.069,0.0415,1.6619,0.0965
0.0696,0.055,1.2662,0.2055
0.0035,0.0047,0.745,0.4563
0.0079,0.0054,1.4664,0.1425
-0.0572,0.0288,-1.9876,0.0469
-0.0924,0.0535,-1.7262,0.0843
0.0376,0.0126,2.9753,0.0029
0.0071,0.013,0.5443,0.5862
0.1989,0.1128,1.7635,0.0778
0.161,0.0846,1.9044,0.0569
0.3183,0.0398,8.0055,0
0.5059,0.2,2.5294,0.0114
